Test;M;K;N;Type;GFLOPS;Time;Iterations;Correct
Baseline;24;24;24;TillJIT;1.432399;1117;57870;1
Baseline;24;24;24;TillJIT;1.431118;1118;57870;1
Baseline;24;24;24;TillJIT;1.431118;1118;57870;1
Baseline;24;24;24;TillJIT;1.432399;1117;57870;1
Baseline;24;24;24;TillJIT;1.432399;1117;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
NoMicrokernel;24;24;24;TillJIT;-39.999745;-40;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.161257;-310;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.161257;-310;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.161257;-310;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.161257;-310;57870;1
OnlyBLoad;24;24;24;TillJIT;-5.161257;-310;57870;1
OnlyALoad;24;24;24;TillJIT;-4.210499;-380;57870;1
OnlyALoad;24;24;24;TillJIT;-4.221609;-379;57870;1
OnlyALoad;24;24;24;TillJIT;-4.221609;-379;57870;1
OnlyALoad;24;24;24;TillJIT;-4.210499;-380;57870;1
OnlyALoad;24;24;24;TillJIT;-4.221609;-379;57870;1
OnlyAAdd;24;24;24;TillJIT;-12.029998;-133;57870;1
OnlyAAdd;24;24;24;TillJIT;-12.029998;-133;57870;1
OnlyAAdd;24;24;24;TillJIT;-12.029998;-133;57870;1
OnlyAAdd;24;24;24;TillJIT;-11.940222;-134;57870;1
OnlyAAdd;24;24;24;TillJIT;-12.029998;-133;57870;1
OnlyVFMA;24;24;24;TillJIT;-1.532557;-1044;57870;1
OnlyVFMA;24;24;24;TillJIT;-1.532557;-1044;57870;1
OnlyVFMA;24;24;24;TillJIT;-1.532557;-1044;57870;1
OnlyVFMA;24;24;24;TillJIT;-1.532557;-1044;57870;1
OnlyVFMA;24;24;24;TillJIT;-1.532557;-1044;57870;1
OnlyCLoadStore;24;24;24;TillJIT;-13.008046;-123;57870;1
OnlyCLoadStore;24;24;24;TillJIT;-13.008046;-123;57870;1
OnlyCLoadStore;24;24;24;TillJIT;-13.008046;-123;57870;1
OnlyCLoadStore;24;24;24;TillJIT;-13.008046;-123;57870;1
OnlyCLoadStore;24;24;24;TillJIT;-13.008046;-123;57870;1
OnlyVFMA+ALoad;24;24;24;TillJIT;-1.520903;-1052;57870;1
OnlyVFMA+ALoad;24;24;24;TillJIT;-1.520903;-1052;57870;1
OnlyVFMA+ALoad;24;24;24;TillJIT;-1.520903;-1052;57870;1
OnlyVFMA+ALoad;24;24;24;TillJIT;-1.520903;-1052;57870;1
OnlyVFMA+ALoad;24;24;24;TillJIT;-1.520903;-1052;57870;1
OnlyVFMA+ALoad+BLoad;24;24;24;TillJIT;-1.477368;-1083;57870;1
OnlyVFMA+ALoad+BLoad;24;24;24;TillJIT;-1.477368;-1083;57870;1
OnlyVFMA+ALoad+BLoad;24;24;24;TillJIT;-1.477368;-1083;57870;1
OnlyVFMA+ALoad+BLoad;24;24;24;TillJIT;-1.477368;-1083;57870;1
OnlyVFMA+ALoad+BLoad;24;24;24;TillJIT;-1.477368;-1083;57870;1
OnlyVFMA+ALoad+BLoad+AAdd;24;24;24;TillJIT;-1.453215;-1101;57870;1
OnlyVFMA+ALoad+BLoad+AAdd;24;24;24;TillJIT;-1.454536;-1100;57870;1
OnlyVFMA+ALoad+BLoad+AAdd;24;24;24;TillJIT;-1.454536;-1100;57870;1
OnlyVFMA+ALoad+BLoad+AAdd;24;24;24;TillJIT;-1.454536;-1100;57870;1
OnlyVFMA+ALoad+BLoad+AAdd;24;24;24;TillJIT;-1.453215;-1101;57870;1
OnlyVFMA+ALoad+BLoad+AAdd+CLoadStore;24;24;24;TillJIT;1.431118;1118;57870;1
OnlyVFMA+ALoad+BLoad+AAdd+CLoadStore;24;24;24;TillJIT;1.432399;1117;57870;1
OnlyVFMA+ALoad+BLoad+AAdd+CLoadStore;24;24;24;TillJIT;1.432399;1117;57870;1
OnlyVFMA+ALoad+BLoad+AAdd+CLoadStore;24;24;24;TillJIT;1.432399;1117;57870;1
OnlyVFMA+ALoad+BLoad+AAdd+CLoadStore;24;24;24;TillJIT;1.432399;1117;57870;1
